States,Regions,latitude,longitude,Dates,Usage
Maharashtra,WR,19.25023195,73.16017493,15/01/2019,392.1
Goa,WR,15.491997,73.81800065,15/01/2019,12.4
DNH,WR,20.26657819,73.0166178,15/01/2019,17.3
"Andhra Pradesh",SR,14.7504291,78.57002559,15/01/2019,160.7
Telangana,SR,18.1124,79.0193,15/01/2019,174.3
Karnataka,SR,12.57038129,76.91999711,15/01/2019,138.7
Kerala,SR,8.900372741,76.56999263,15/01/2019,64.2
"Tamil Nadu",SR,12.92038576,79.15004187,15/01/2019,288.7
Pondy,SR,11.93499371,79.83000037,15/01/2019,7.4
Bihar,ER,25.78541445,87.4799727,15/01/2019,93.7
Jharkhand,ER,23.80039349,86.41998572,15/01/2019,24.8
Odisha,ER,19.82042971,85.90001746,15/01/2019,82.1
"West Bengal",ER,22.58039044,88.32994665,15/01/2019,143.4
Sikkim,ER,27.3333303,88.6166475,15/01/2019,0.7
"Arunachal Pradesh",NER,27.10039878,93.61660071,15/01/2019,2.2
Assam,NER,26.7499809,94.21666744,15/01/2019,29.2
Manipur,NER,24.79997072,93.95001705,15/01/2019,2.5
Meghalaya,NER,25.57049217,91.8800142,15/01/2019,5.2
Mizoram,NER,23.71039899,92.72001461,15/01/2019,1.7
Nagaland,NER,25.6669979,94.11657019,15/01/2019,2.2
Tripura,NER,23.83540428,91.27999914,15/01/2019,4.8
Punjab,NR,31.51997398,75.98000281,16/01/2019,231.9
Haryana,NR,28.45000633,77.01999101,16/01/2019,180.5
Rajasthan,NR,26.44999921,74.63998124,16/01/2019,175.3
Delhi,NR,28.6699929,77.23000403,16/01/2019,111.8
UP,NR,27.59998069,78.05000565,16/01/2019,399
Uttarakhand,NR,30.32040895,78.05000565,16/01/2019,41
HP,NR,31.10002545,77.16659704,16/01/2019,29.4
J&K,NR,33.45,76.24,16/01/2019,41.8
Chandigarh,NR,30.71999697,76.78000565,16/01/2019,6
Chhattisgarh,WR,22.09042035,82.15998734,16/01/2019,89.2
Gujarat,WR,22.2587,71.1924,16/01/2019,299.5
MP,WR,21.30039105,76.13001949,16/01/2019,185.1
Maharashtra,WR,19.25023195,73.16017493,16/01/2019,377.1
Goa,WR,15.491997,73.81800065,16/01/2019,11.3
DNH,WR,20.26657819,73.0166178,16/01/2019,18.9
"Andhra Pradesh",SR,14.7504291,78.57002559,16/01/2019,155.2
Telangana,SR,18.1124,79.0193,16/01/2019,161.3
Karnataka,SR,12.57038129,76.91999711,16/01/2019,175.2
Kerala,SR,8.900372741,76.56999263,16/01/2019,68.5
"Tamil Nadu",SR,12.92038576,79.15004187,16/01/2019,301.4
Pondy,SR,11.93499371,79.83000037,16/01/2019,7.6
Bihar,ER,25.78541445,87.4799727,16/01/2019,93.5
Jharkhand,ER,23.80039349,86.41998572,16/01/2019,22.1
Odisha,ER,19.82042971,85.90001746,16/01/2019,82.6
"West Bengal",ER,22.58039044,88.32994665,16/01/2019,152.9
Sikkim,ER,27.3333303,88.6166475,16/01/2019,0.7
"Arunachal Pradesh",NER,27.10039878,93.61660071,16/01/2019,2.2
Assam,NER,26.7499809,94.21666744,16/01/2019,31.3
Manipur,NER,24.79997072,93.95001705,16/01/2019,2.3
Meghalaya,NER,25.57049217,91.8800142,16/01/2019,5.6
Mizoram,NER,23.71039899,92.72001461,16/01/2019,1.8
Nagaland,NER,25.6669979,94.11657019,16/01/2019,2.2
Tripura,NER,23.83540428,91.27999914,16/01/2019,5.8
Punjab,NR,31.51997398,75.98000281,17/01/2019,253.8
Haryana,NR,28.45000633,77.01999101,17/01/2019,196.4
Rajasthan,NR,26.44999921,74.63998124,17/01/2019,197.2
Delhi,NR,28.6699929,77.23000403,17/01/2019,115.6
UP,NR,27.59998069,78.05000565,17/01/2019,412.5
Uttarakhand,NR,30.32040895,78.05000565,17/01/2019,41.7
HP,NR,31.10002545,77.16659704,17/01/2019,29.8
J&K,NR,33.45,76.24,17/01/2019,42.3
Chandigarh,NR,30.71999697,76.78000565,17/01/2019,5.6
Chhattisgarh,WR,22.09042035,82.15998734,17/01/2019,83.5
Gujarat,WR,22.2587,71.1924,17/01/2019,282
MP,WR,21.30039105,76.13001949,17/01/2019,183.7
Maharashtra,WR,19.25023195,73.16017493,17/01/2019,368.4
Goa,WR,15.491997,73.81800065,17/01/2019,11.3
DNH,WR,20.26657819,73.0166178,17/01/2019,18.4
"Andhra Pradesh",SR,14.7504291,78.57002559,17/01/2019,161.8
Telangana,SR,18.1124,79.0193,17/01/2019,156.5
Karnataka,SR,12.57038129,76.91999711,17/01/2019,167.1
Kerala,SR,8.900372741,76.56999263,17/01/2019,70.3
"Tamil Nadu",SR,12.92038576,79.15004187,17/01/2019,313.9
Pondy,SR,11.93499371,79.83000037,17/01/2019,7.7
Bihar,ER,25.78541445,87.4799727,17/01/2019,98.9
Jharkhand,ER,23.80039349,86.41998572,17/01/2019,22.3
Odisha,ER,19.82042971,85.90001746,17/01/2019,85.9
"West Bengal",ER,22.58039044,88.32994665,17/01/2019,167.7
Sikkim,ER,27.3333303,88.6166475,17/01/2019,0.8
"Arunachal Pradesh",NER,27.10039878,93.61660071,17/01/2019,2.2
Assam,NER,26.7499809,94.21666744,17/01/2019,33.1
Manipur,NER,24.79997072,93.95001705,17/01/2019,2.5
Meghalaya,NER,25.57049217,91.8800142,17/01/2019,5.5
Mizoram,NER,23.71039899,92.72001461,17/01/2019,1.8
Nagaland,NER,25.6669979,94.11657019,17/01/2019,2.2
Tripura,NER,23.83540428,91.27999914,17/01/2019,4.2
Punjab,NR,31.51997398,75.98000281,18/01/2019,236.4
Haryana,NR,28.45000633,77.01999101,18/01/2019,193.9
Rajasthan,NR,26.44999921,74.63998124,18/01/2019,209.8
Delhi,NR,28.6699929,77.23000403,18/01/2019,117.9
UP,NR,27.59998069,78.05000565,18/01/2019,426
Uttarakhand,NR,30.32040895,78.05000565,18/01/2019,40.3
HP,NR,31.10002545,77.16659704,18/01/2019,27.9
J&K,NR,33.45,76.24,18/01/2019,36.7
Chandigarh,NR,30.71999697,76.78000565,18/01/2019,5
Chhattisgarh,WR,22.09042035,82.15998734,18/01/2019,82.2
Gujarat,WR,22.2587,71.1924,18/01/2019,269.1
MP,WR,21.30039105,76.13001949,18/01/2019,183.4
Maharashtra,WR,19.25023195,73.16017493,18/01/2019,360.8
Goa,WR,15.491997,73.81800065,18/01/2019,11.3
DNH,WR,20.26657819,73.0166178,18/01/2019,18.3
"Andhra Pradesh",SR,14.7504291,78.57002559,18/01/2019,169.9
Telangana,SR,18.1124,79.0193,18/01/2019,169.4
Karnataka,SR,12.57038129,76.91999711,18/01/2019,182.5
Kerala,SR,8.900372741,76.56999263,18/01/2019,71.6
"Tamil Nadu",SR,12.92038576,79.15004187,18/01/2019,321.5
Pondy,SR,11.93499371,79.83000037,18/01/2019,8.2
Bihar,ER,25.78541445,87.4799727,18/01/2019,106.1
Jharkhand,ER,23.80039349,86.41998572,18/01/2019,24.1
Odisha,ER,19.82042971,85.90001746,18/01/2019,89.1
"West Bengal",ER,22.58039044,88.32994665,18/01/2019,175.9
Sikkim,ER,27.3333303,88.6166475,18/01/2019,0.8
"Arunachal Pradesh",NER,27.10039878,93.61660071,18/01/2019,2.5
Assam,NER,26.7499809,94.21666744,18/01/2019,32.5
Manipur,NER,24.79997072,93.95001705,18/01/2019,2.5
Meghalaya,NER,25.57049217,91.8800142,18/01/2019,5.8
Mizoram,NER,23.71039899,92.72001461,18/01/2019,1.6
Nagaland,NER,25.6669979,94.11657019,18/01/2019,2.3
Tripura,NER,23.83540428,91.27999914,18/01/2019,4.3
Punjab,NR,31.51997398,75.98000281,19/01/2019,229.8
Haryana,NR,28.45000633,77.01999101,19/01/2019,201.8
Rajasthan,NR,26.44999921,74.63998124,19/01/2019,197.6
Delhi,NR,28.6699929,77.23000403,19/01/2019,121.9
UP,NR,27.59998069,78.05000565,19/01/2019,437.9
Uttarakhand,NR,30.32040895,78.05000565,19/01/2019,42.4
HP,NR,31.10002545,77.16659704,19/01/2019,28.7
J&K,NR,33.45,76.24,19/01/2019,38.5
Chandigarh,NR,30.71999697,76.78000565,19/01/2019,5.3
Chhattisgarh,WR,22.09042035,82.15998734,19/01/2019,86.8
Gujarat,WR,22.2587,71.1924,19/01/2019,260.2
MP,WR,21.30039105,76.13001949,19/01/2019,183.7
Maharashtra,WR,19.25023195,73.16017493,19/01/2019,371.2
Goa,WR,15.491997,73.81800065,19/01/2019,11.8
DNH,WR,20.26657819,73.0166178,19/01/2019,18.1
"Andhra Pradesh",SR,14.7504291,78.57002559,19/01/2019,166
Telangana,SR,18.1124,79.0193,19/01/2019,171.8
Karnataka,SR,12.57038129,76.91999711,19/01/2019,185
Kerala,SR,8.900372741,76.56999263,19/01/2019,72.6
"Tamil Nadu",SR,12.92038576,79.15004187,19/01/2019,325.8
Pondy,SR,11.93499371,79.83000037,19/01/2019,8.3
Bihar,ER,25.78541445,87.4799727,19/01/2019,105.5
Jharkhand,ER,23.80039349,86.41998572,19/01/2019,23.8
Odisha,ER,19.82042971,85.90001746,19/01/2019,98.1
"West Bengal",ER,22.58039044,88.32994665,19/01/2019,180.6
Sikkim,ER,27.3333303,88.6166475,19/01/2019,0.9
"Arunachal Pradesh",NER,27.10039878,93.61660071,19/01/2019,2.4
Assam,NER,26.7499809,94.21666744,19/01/2019,31.4
Manipur,NER,24.79997072,93.95001705,19/01/2019,2.6
Meghalaya,NER,25.57049217,91.8800142,19/01/2019,5.6
Mizoram,NER,23.71039899,92.72001461,19/01/2019,1.6
Nagaland,NER,25.6669979,94.11657019,19/01/2019,2.2
Tripura,NER,23.83540428,91.27999914,19/01/2019,4.8
Punjab,NR,31.51997398,75.98000281,20/01/2019,195
Haryana,NR,28.45000633,77.01999101,20/01/2019,192.3
Rajasthan,NR,26.44999921,74.63998124,20/01/2019,197.6
Delhi,NR,28.6699929,77.23000403,20/01/2019,121.7
UP,NR,27.59998069,78.05000565,20/01/2019,428.3
Uttarakhand,NR,30.32040895,78.05000565,20/01/2019,42.4
HP,NR,31.10002545,77.16659704,20/01/2019,28.1
J&K,NR,33.45,76.24,20/01/2019,40.4
Chandigarh,NR,30.71999697,76.78000565,20/01/2019,5.1
Chhattisgarh,WR,22.09042035,82.15998734,20/01/2019,90
Gujarat,WR,22.2587,71.1924,20/01/2019,273.8
MP,WR,21.30039105,76.13001949,20/01/2019,189.3
Maharashtra,WR,19.25023195,73.16017493,20/01/2019,362.4
Goa,WR,15.491997,73.81800065,20/01/2019,11.8
DNH,WR,20.26657819,73.0166178,20/01/2019,17.7
"Andhra Pradesh",SR,14.7504291,78.57002559,20/01/2019,153.9
Telangana,SR,18.1124,79.0193,20/01/2019,152
Karnataka,SR,12.57038129,76.91999711,20/01/2019,184.7
Kerala,SR,8.900372741,76.56999263,20/01/2019,72.4
"Tamil Nadu",SR,12.92038576,79.15004187,20/01/2019,325.4
Pondy,SR,11.93499371,79.83000037,20/01/2019,8.3
Bihar,ER,25.78541445,87.4799727,20/01/2019,106.7
Jharkhand,ER,23.80039349,86.41998572,20/01/2019,25
Odisha,ER,19.82042971,85.90001746,20/01/2019,96.5
"West Bengal",ER,22.58039044,88.32994665,20/01/2019,178.9
Sikkim,ER,27.3333303,88.6166475,20/01/2019,0.9
"Arunachal Pradesh",NER,27.10039878,93.61660071,20/01/2019,2.1
Assam,NER,26.7499809,94.21666744,20/01/2019,33
Manipur,NER,24.79997072,93.95001705,20/01/2019,2.6
Meghalaya,NER,25.57049217,91.8800142,20/01/2019,5.6
Mizoram,NER,23.71039899,92.72001461,20/01/2019,1.7
Nagaland,NER,25.6669979,94.11657019,20/01/2019,2.2
Tripura,NER,23.83540428,91.27999914,20/01/2019,5.5
Punjab,NR,31.51997398,75.98000281,21/01/2019,207.1
Haryana,NR,28.45000633,77.01999101,21/01/2019,182.9
Rajasthan,NR,26.44999921,74.63998124,21/01/2019,189.7
Delhi,NR,28.6699929,77.23000403,21/01/2019,112.2
UP,NR,27.59998069,78.05000565,21/01/2019,407.9
Uttarakhand,NR,30.32040895,78.05000565,21/01/2019,39.8
HP,NR,31.10002545,77.16659704,21/01/2019,28.8
J&K,NR,33.45,76.24,21/01/2019,41.7
Chandigarh,NR,30.71999697,76.78000565,21/01/2019,5.2
Chhattisgarh,WR,22.09042035,82.15998734,21/01/2019,87.5
Gujarat,WR,22.2587,71.1924,21/01/2019,276.7
MP,WR,21.30039105,76.13001949,21/01/2019,187.9
Maharashtra,WR,19.25023195,73.16017493,21/01/2019,356.6
Goa,WR,15.491997,73.81800065,21/01/2019,11.8
DNH,WR,20.26657819,73.0166178,21/01/2019,17.9
"Andhra Pradesh",SR,14.7504291,78.57002559,21/01/2019,153.3
Telangana,SR,18.1124,79.0193,21/01/2019,144.5
Karnataka,SR,12.57038129,76.91999711,21/01/2019,179.9
Kerala,SR,8.900372741,76.56999263,21/01/2019,72.1
"Tamil Nadu",SR,12.92038576,79.15004187,21/01/2019,311.5
Pondy,SR,11.93499371,79.83000037,21/01/2019,8
Bihar,ER,25.78541445,87.4799727,21/01/2019,109.1
Jharkhand,ER,23.80039349,86.41998572,21/01/2019,24.8
Odisha,ER,19.82042971,85.90001746,21/01/2019,97.6
"West Bengal",ER,22.58039044,88.32994665,21/01/2019,178.9
Sikkim,ER,27.3333303,88.6166475,21/01/2019,0.8
"Arunachal Pradesh",NER,27.10039878,93.61660071,21/01/2019,2.2
Assam,NER,26.7499809,94.21666744,21/01/2019,34.3
Manipur,NER,24.79997072,93.95001705,21/01/2019,2.7
Meghalaya,NER,25.57049217,91.8800142,21/01/2019,5.7
Mizoram,NER,23.71039899,92.72001461,21/01/2019,1.8
Nagaland,NER,25.6669979,94.11657019,21/01/2019,2.3
Tripura,NER,23.83540428,91.27999914,21/01/2019,5.4
Punjab,NR,31.51997398,75.98000281,22/01/2019,218.9
Haryana,NR,28.45000633,77.01999101,22/01/2019,178.2
Rajasthan,NR,26.44999921,74.63998124,22/01/2019,191.9
Delhi,NR,28.6699929,77.23000403,22/01/2019,108
UP,NR,27.59998069,78.05000565,22/01/2019,417.1
Uttarakhand,NR,30.32040895,78.05000565,22/01/2019,38.8
HP,NR,31.10002545,77.16659704,22/01/2019,26.5
J&K,NR,33.45,76.24,22/01/2019,42.5
Chandigarh,NR,30.71999697,76.78000565,22/01/2019,5.1
Chhattisgarh,WR,22.09042035,82.15998734,22/01/2019,90.2
Gujarat,WR,22.2587,71.1924,22/01/2019,263.5
MP,WR,21.30039105,76.13001949,22/01/2019,188.2
Maharashtra,WR,19.25023195,73.16017493,22/01/2019,330.8
Goa,WR,15.491997,73.81800065,22/01/2019,8.2
DNH,WR,20.26657819,73.0166178,22/01/2019,16.3
"Andhra Pradesh",SR,14.7504291,78.57002559,22/01/2019,152.6
Telangana,SR,18.1124,79.0193,22/01/2019,150.3
Karnataka,SR,12.57038129,76.91999711,22/01/2019,157.5
Kerala,SR,8.900372741,76.56999263,22/01/2019,65.5
"Tamil Nadu",SR,12.92038576,79.15004187,22/01/2019,295.3
Pondy,SR,11.93499371,79.83000037,22/01/2019,7.6
Bihar,ER,25.78541445,87.4799727,22/01/2019,111
Jharkhand,ER,23.80039349,86.41998572,22/01/2019,23.8
Odisha,ER,19.82042971,85.90001746,22/01/2019,97.2
"West Bengal",ER,22.58039044,88.32994665,22/01/2019,173
Sikkim,ER,27.3333303,88.6166475,22/01/2019,0.6
"Arunachal Pradesh",NER,27.10039878,93.61660071,22/01/2019,2.3
Assam,NER,26.7499809,94.21666744,22/01/2019,33.3
Manipur,NER,24.79997072,93.95001705,22/01/2019,2.5
Meghalaya,NER,25.57049217,91.8800142,22/01/2019,5.7
Mizoram,NER,23.71039899,92.72001461,22/01/2019,1.8
Nagaland,NER,25.6669979,94.11657019,22/01/2019,2.4
Tripura,NER,23.83540428,91.27999914,22/01/2019,4.9
Punjab,NR,31.51997398,75.98000281,23/01/2019,136
Haryana,NR,28.45000633,77.01999101,23/01/2019,150.5
Rajasthan,NR,26.44999921,74.63998124,23/01/2019,227.2
Delhi,NR,28.6699929,77.23000403,23/01/2019,109.3
UP,NR,27.59998069,78.05000565,23/01/2019,395.8
Uttarakhand,NR,30.32040895,78.05000565,23/01/2019,41.5
HP,NR,31.10002545,77.16659704,23/01/2019,27.3
J&K,NR,33.45,76.24,23/01/2019,44.3
Chandigarh,NR,30.71999697,76.78000565,23/01/2019,4.8
Chhattisgarh,WR,22.09042035,82.15998734,23/01/2019,105.7
Gujarat,WR,22.2587,71.1924,23/01/2019,391.4
MP,WR,21.30039105,76.13001949,23/01/2019,219.7
Maharashtra,WR,19.25023195,73.16017493,23/01/2019,499.4
Goa,WR,15.491997,73.81800065,23/01/2019,13.5
DNH,WR,20.26657819,73.0166178,23/01/2019,18.9
"Andhra Pradesh",SR,14.7504291,78.57002559,23/01/2019,194.9
Telangana,SR,18.1124,79.0193,23/01/2019,175
Karnataka,SR,12.57038129,76.91999711,23/01/2019,230.1
Kerala,SR,8.900372741,76.56999263,23/01/2019,82.3
"Tamil Nadu",SR,12.92038576,79.15004187,23/01/2019,340.6
Pondy,SR,11.93499371,79.83000037,23/01/2019,8.9
Bihar,ER,25.78541445,87.4799727,23/01/2019,101.7
Jharkhand,ER,23.80039349,86.41998572,23/01/2019,27.5
Odisha,ER,19.82042971,85.90001746,23/01/2019,97.1
"West Bengal",ER,22.58039044,88.32994665,23/01/2019,183.4
Sikkim,ER,27.3333303,88.6166475,23/01/2019,1.1
"Arunachal Pradesh",NER,27.10039878,93.61660071,23/01/2019,2.2
Assam,NER,26.7499809,94.21666744,23/01/2019,22.5
Manipur,NER,24.79997072,93.95001705,23/01/2019,1.8
Meghalaya,NER,25.57049217,91.8800142,23/01/2019,5.6
Mizoram,NER,23.71039899,92.72001461,23/01/2019,1.8
Nagaland,NER,25.6669979,94.11657019,23/01/2019,2.2
Tripura,NER,23.83540428,91.27999914,23/01/2019,5.5
Punjab,NR,31.51997398,75.98000281,24/01/2019,132.5
Haryana,NR,28.45000633,77.01999101,24/01/2019,154.7
Rajasthan,NR,26.44999921,74.63998124,24/01/2019,231.6
Delhi,NR,28.6699929,77.23000403,24/01/2019,111.9
UP,NR,27.59998069,78.05000565,24/01/2019,410.9
Uttarakhand,NR,30.32040895,78.05000565,24/01/2019,41.8
HP,NR,31.10002545,77.16659704,24/01/2019,27.6
J&K,NR,33.45,76.24,24/01/2019,43.9
Chandigarh,NR,30.71999697,76.78000565,24/01/2019,5
Chhattisgarh,WR,22.09042035,82.15998734,24/01/2019,105.9
Gujarat,WR,22.2587,71.1924,24/01/2019,385.3
MP,WR,21.30039105,76.13001949,24/01/2019,219.7
Maharashtra,WR,19.25023195,73.16017493,24/01/2019,508.9
Goa,WR,15.491997,73.81800065,24/01/2019,13.5
DNH,WR,20.26657819,73.0166178,24/01/2019,18.8
"Andhra Pradesh",SR,14.7504291,78.57002559,24/01/2019,193.7
Telangana,SR,18.1124,79.0193,24/01/2019,177.3
Karnataka,SR,12.57038129,76.91999711,24/01/2019,214.8
Kerala,SR,8.900372741,76.56999263,24/01/2019,79.5
"Tamil Nadu",SR,12.92038576,79.15004187,24/01/2019,332.7
Pondy,SR,11.93499371,79.83000037,24/01/2019,9.1
Bihar,ER,25.78541445,87.4799727,24/01/2019,105
Jharkhand,ER,23.80039349,86.41998572,24/01/2019,25.9
Odisha,ER,19.82042971,85.90001746,24/01/2019,98
"West Bengal",ER,22.58039044,88.32994665,24/01/2019,175.5
Sikkim,ER,27.3333303,88.6166475,24/01/2019,1.2
"Arunachal Pradesh",NER,27.10039878,93.61660071,24/01/2019,2.3
Assam,NER,26.7499809,94.21666744,24/01/2019,21.3
Manipur,NER,24.79997072,93.95001705,24/01/2019,2.5
Meghalaya,NER,25.57049217,91.8800142,24/01/2019,5.6
Mizoram,NER,23.71039899,92.72001461,24/01/2019,1.6
Nagaland,NER,25.6669979,94.11657019,24/01/2019,2.2
Tripura,NER,23.83540428,91.27999914,24/01/2019,4.5
Punjab,NR,31.51997398,75.98000281,25/01/2019,134.3
Haryana,NR,28.45000633,77.01999101,25/01/2019,155.2
Rajasthan,NR,26.44999921,74.63998124,25/01/2019,232.4
Delhi,NR,28.6699929,77.23000403,25/01/2019,114.2
UP,NR,27.59998069,78.05000565,25/01/2019,408.7
Uttarakhand,NR,30.32040895,78.05000565,25/01/2019,40.2
HP,NR,31.10002545,77.16659704,25/01/2019,25.7
J&K,NR,33.45,76.24,25/01/2019,43.7
Chandigarh,NR,30.71999697,76.78000565,25/01/2019,5.1
Chhattisgarh,WR,22.09042035,82.15998734,25/01/2019,103.7
Gujarat,WR,22.2587,71.1924,25/01/2019,380.2
MP,WR,21.30039105,76.13001949,25/01/2019,218.4
Maharashtra,WR,19.25023195,73.16017493,25/01/2019,456
Goa,WR,15.491997,73.81800065,25/01/2019,13.5
DNH,WR,20.26657819,73.0166178,25/01/2019,17.4
"Andhra Pradesh",SR,14.7504291,78.57002559,25/01/2019,176.4
Telangana,SR,18.1124,79.0193,25/01/2019,160.9
Karnataka,SR,12.57038129,76.91999711,25/01/2019,180.6
Kerala,SR,8.900372741,76.56999263,25/01/2019,74.8
"Tamil Nadu",SR,12.92038576,79.15004187,25/01/2019,298.4
Pondy,SR,11.93499371,79.83000037,25/01/2019,6.6
Bihar,ER,25.78541445,87.4799727,25/01/2019,102.1
Jharkhand,ER,23.80039349,86.41998572,25/01/2019,23.2
Odisha,ER,19.82042971,85.90001746,25/01/2019,97.1
"West Bengal",ER,22.58039044,88.32994665,25/01/2019,161.2
Sikkim,ER,27.3333303,88.6166475,25/01/2019,0.9
"Arunachal Pradesh",NER,27.10039878,93.61660071,25/01/2019,2.2
Assam,NER,26.7499809,94.21666744,25/01/2019,18.7
Manipur,NER,24.79997072,93.95001705,25/01/2019,2.4
Meghalaya,NER,25.57049217,91.8800142,25/01/2019,4.9
Mizoram,NER,23.71039899,92.72001461,25/01/2019,1.7
Nagaland,NER,25.6669979,94.11657019,25/01/2019,2.1
Tripura,NER,23.83540428,91.27999914,25/01/2019,4.9
Punjab,NR,31.51997398,75.98000281,26/01/2019,135.9
Haryana,NR,28.45000633,77.01999101,26/01/2019,143.2
Rajasthan,NR,26.44999921,74.63998124,26/01/2019,229.6
Delhi,NR,28.6699929,77.23000403,26/01/2019,112.7
UP,NR,27.59998069,78.05000565,26/01/2019,373.4
Uttarakhand,NR,30.32040895,78.05000565,26/01/2019,35.5
HP,NR,31.10002545,77.16659704,26/01/2019,26.2
J&K,NR,33.45,76.24,26/01/2019,43.1
Chandigarh,NR,30.71999697,76.78000565,26/01/2019,4.7
Chhattisgarh,WR,22.09042035,82.15998734,26/01/2019,105.8
Gujarat,WR,22.2587,71.1924,26/01/2019,380.6
MP,WR,21.30039105,76.13001949,26/01/2019,219.8
Maharashtra,WR,19.25023195,73.16017493,26/01/2019,485.9
Goa,WR,15.491997,73.81800065,26/01/2019,13.5
DNH,WR,20.26657819,73.0166178,26/01/2019,18.1
"Andhra Pradesh",SR,14.7504291,78.57002559,26/01/2019,172.4
Telangana,SR,18.1124,79.0193,26/01/2019,165.2
Karnataka,SR,12.57038129,76.91999711,26/01/2019,209.6
Kerala,SR,8.900372741,76.56999263,26/01/2019,80.7
"Tamil Nadu",SR,12.92038576,79.15004187,26/01/2019,330
Pondy,SR,11.93499371,79.83000037,26/01/2019,7.4
Bihar,ER,25.78541445,87.4799727,26/01/2019,100.1
Jharkhand,ER,23.80039349,86.41998572,26/01/2019,25
Odisha,ER,19.82042971,85.90001746,26/01/2019,87.7
"West Bengal",ER,22.58039044,88.32994665,26/01/2019,169.5
Sikkim,ER,27.3333303,88.6166475,26/01/2019,1.2
"Arunachal Pradesh",NER,27.10039878,93.61660071,26/01/2019,2.2
Assam,NER,26.7499809,94.21666744,26/01/2019,22.3
Manipur,NER,24.79997072,93.95001705,26/01/2019,2.4
Meghalaya,NER,25.57049217,91.8800142,26/01/2019,5.6
Mizoram,NER,23.71039899,92.72001461,26/01/2019,1.6
Nagaland,NER,25.6669979,94.11657019,26/01/2019,2.2
Tripura,NER,23.83540428,91.27999914,26/01/2019,5.4
Punjab,NR,31.51997398,75.98000281,27/01/2019,141.2
Haryana,NR,28.45000633,77.01999101,27/01/2019,138.9
Rajasthan,NR,26.44999921,74.63998124,27/01/2019,226.9
Delhi,NR,28.6699929,77.23000403,27/01/2019,105
UP,NR,27.59998069,78.05000565,27/01/2019,341.6
Uttarakhand,NR,30.32040895,78.05000565,27/01/2019,37.9
HP,NR,31.10002545,77.16659704,27/01/2019,27
J&K,NR,33.45,76.24,27/01/2019,45.3
Chandigarh,NR,30.71999697,76.78000565,27/01/2019,4.7
Chhattisgarh,WR,22.09042035,82.15998734,27/01/2019,98.3
Gujarat,WR,22.2587,71.1924,27/01/2019,379.4
MP,WR,21.30039105,76.13001949,27/01/2019,212.8
Maharashtra,WR,19.25023195,73.16017493,27/01/2019,485.2
Goa,WR,15.491997,73.81800065,27/01/2019,13.5
DNH,WR,20.26657819,73.0166178,27/01/2019,18.2
"Andhra Pradesh",SR,14.7504291,78.57002559,27/01/2019,181
Telangana,SR,18.1124,79.0193,27/01/2019,168.4
Karnataka,SR,12.57038129,76.91999711,27/01/2019,223.4
Kerala,SR,8.900372741,76.56999263,27/01/2019,81.9
"Tamil Nadu",SR,12.92038576,79.15004187,27/01/2019,347.2
Pondy,SR,11.93499371,79.83000037,27/01/2019,8.6
Bihar,ER,25.78541445,87.4799727,27/01/2019,82.8
Jharkhand,ER,23.80039349,86.41998572,27/01/2019,21.4
Odisha,ER,19.82042971,85.90001746,27/01/2019,51.1
"West Bengal",ER,22.58039044,88.32994665,27/01/2019,135.6
Sikkim,ER,27.3333303,88.6166475,27/01/2019,1.3
"Arunachal Pradesh",NER,27.10039878,93.61660071,27/01/2019,2.2
Assam,NER,26.7499809,94.21666744,27/01/2019,23.6
Manipur,NER,24.79997072,93.95001705,27/01/2019,2.4
Meghalaya,NER,25.57049217,91.8800142,27/01/2019,5.6
Mizoram,NER,23.71039899,92.72001461,27/01/2019,1.8
Nagaland,NER,25.6669979,94.11657019,27/01/2019,2.3
Tripura,NER,23.83540428,91.27999914,27/01/2019,4.1
Punjab,NR,31.51997398,75.98000281,28/01/2019,144.5
Haryana,NR,28.45000633,77.01999101,28/01/2019,148.6
Rajasthan,NR,26.44999921,74.63998124,28/01/2019,222.4
Delhi,NR,28.6699929,77.23000403,28/01/2019,100.5
UP,NR,27.59998069,78.05000565,28/01/2019,393.3
Uttarakhand,NR,30.32040895,78.05000565,28/01/2019,41.8
HP,NR,31.10002545,77.16659704,28/01/2019,26.9
J&K,NR,33.45,76.24,28/01/2019,46.2
Chandigarh,NR,30.71999697,76.78000565,28/01/2019,4.4
Chhattisgarh,WR,22.09042035,82.15998734,28/01/2019,94.8
Gujarat,WR,22.2587,71.1924,28/01/2019,377.9
MP,WR,21.30039105,76.13001949,28/01/2019,210
Maharashtra,WR,19.25023195,73.16017493,28/01/2019,485.1
Goa,WR,15.491997,73.81800065,28/01/2019,11.6
DNH,WR,20.26657819,73.0166178,28/01/2019,18.3
"Andhra Pradesh",SR,14.7504291,78.57002559,28/01/2019,189.4
Telangana,SR,18.1124,79.0193,28/01/2019,168.8
Karnataka,SR,12.57038129,76.91999711,28/01/2019,224.5
Kerala,SR,8.900372741,76.56999263,28/01/2019,80.8
"Tamil Nadu",SR,12.92038576,79.15004187,28/01/2019,346.6
Pondy,SR,11.93499371,79.83000037,28/01/2019,8.8
Bihar,ER,25.78541445,87.4799727,28/01/2019,80.4
Jharkhand,ER,23.80039349,86.41998572,28/01/2019,18.7
Odisha,ER,19.82042971,85.90001746,28/01/2019,55.8
"West Bengal",ER,22.58039044,88.32994665,28/01/2019,103.6
