States,Regions,latitude,longitude,Dates,Usage
DNH,WR,20.26657819,73.0166178,07/01/2019,18.3
"Andhra Pradesh",SR,14.7504291,78.57002559,07/01/2019,166.4
Telangana,SR,18.1124,79.0193,07/01/2019,191.9
Karnataka,SR,12.57038129,76.91999711,07/01/2019,217.4
Kerala,SR,8.900372741,76.56999263,07/01/2019,74.9
"Tamil Nadu",SR,12.92038576,79.15004187,07/01/2019,294.2
Pondy,SR,11.93499371,79.83000037,07/01/2019,7
Bihar,ER,25.78541445,87.4799727,07/01/2019,75.3
Jharkhand,ER,23.80039349,86.41998572,07/01/2019,23.9
Odisha,ER,19.82042971,85.90001746,07/01/2019,64
"West Bengal",ER,22.58039044,88.32994665,07/01/2019,109.3
Sikkim,ER,27.3333303,88.6166475,07/01/2019,1.5
"Arunachal Pradesh",NER,27.10039878,93.61660071,07/01/2019,2.2
Assam,NER,26.7499809,94.21666744,07/01/2019,21.4
Manipur,NER,24.79997072,93.95001705,07/01/2019,2.5
Meghalaya,NER,25.57049217,91.8800142,07/01/2019,6.1
Mizoram,NER,23.71039899,92.72001461,07/01/2019,1.8
Nagaland,NER,25.6669979,94.11657019,07/01/2019,2.3
Tripura,NER,23.83540428,91.27999914,07/01/2019,3.3
Punjab,NR,31.51997398,75.98000281,08/01/2019,107.5
Haryana,NR,28.45000633,77.01999101,08/01/2019,121.4
Rajasthan,NR,26.44999921,74.63998124,08/01/2019,237.2
Delhi,NR,28.6699929,77.23000403,08/01/2019,69
UP,NR,27.59998069,78.05000565,08/01/2019,289.4
Uttarakhand,NR,30.32040895,78.05000565,08/01/2019,37
HP,NR,31.10002545,77.16659704,08/01/2019,29.2
J&K,NR,33.45,76.24,08/01/2019,51.2
Chandigarh,NR,30.71999697,76.78000565,08/01/2019,3.8
Chhattisgarh,WR,22.09042035,82.15998734,08/01/2019,74.2
Gujarat,WR,22.2587,71.1924,08/01/2019,307.9
MP,WR,21.30039105,76.13001949,08/01/2019,228.8
Maharashtra,WR,19.25023195,73.16017493,08/01/2019,398.2
Goa,WR,15.491997,73.81800065,08/01/2019,10.9
DNH,WR,20.26657819,73.0166178,08/01/2019,18.1
"Andhra Pradesh",SR,14.7504291,78.57002559,08/01/2019,160.8
Telangana,SR,18.1124,79.0193,08/01/2019,190.8
Karnataka,SR,12.57038129,76.91999711,08/01/2019,201
Kerala,SR,8.900372741,76.56999263,08/01/2019,68.2
"Tamil Nadu",SR,12.92038576,79.15004187,08/01/2019,279.2
Pondy,SR,11.93499371,79.83000037,08/01/2019,6.5
Bihar,ER,25.78541445,87.4799727,08/01/2019,76.2
Jharkhand,ER,23.80039349,86.41998572,08/01/2019,23.3
Odisha,ER,19.82042971,85.90001746,08/01/2019,63.6
"West Bengal",ER,22.58039044,88.32994665,08/01/2019,102.9
Sikkim,ER,27.3333303,88.6166475,08/01/2019,1.6
"Arunachal Pradesh",NER,27.10039878,93.61660071,08/01/2019,2.3
Assam,NER,26.7499809,94.21666744,08/01/2019,20.7
Manipur,NER,24.79997072,93.95001705,08/01/2019,2.6
Meghalaya,NER,25.57049217,91.8800142,08/01/2019,6.2
Mizoram,NER,23.71039899,92.72001461,08/01/2019,1.8
Nagaland,NER,25.6669979,94.11657019,08/01/2019,2.1
Tripura,NER,23.83540428,91.27999914,08/01/2019,3.3
Punjab,NR,31.51997398,75.98000281,09/01/2019,132.5
Haryana,NR,28.45000633,77.01999101,09/01/2019,148.2
Rajasthan,NR,26.44999921,74.63998124,09/01/2019,197
Delhi,NR,28.6699929,77.23000403,09/01/2019,89.2
UP,NR,27.59998069,78.05000565,09/01/2019,258.6
Uttarakhand,NR,30.32040895,78.05000565,09/01/2019,35.9
HP,NR,31.10002545,77.16659704,09/01/2019,25.3
J&K,NR,33.45,76.24,09/01/2019,37.9
Chandigarh,NR,30.71999697,76.78000565,09/01/2019,3.9
Chhattisgarh,WR,22.09042035,82.15998734,09/01/2019,77.2
Gujarat,WR,22.2587,71.1924,09/01/2019,260
MP,WR,21.30039105,76.13001949,09/01/2019,162.5
Maharashtra,WR,19.25023195,73.16017493,09/01/2019,400.9
Goa,WR,15.491997,73.81800065,09/01/2019,12.1
DNH,WR,20.26657819,73.0166178,09/01/2019,18
"Andhra Pradesh",SR,14.7504291,78.57002559,09/01/2019,163
Telangana,SR,18.1124,79.0193,09/01/2019,167.5
Karnataka,SR,12.57038129,76.91999711,09/01/2019,173.6
Kerala,SR,8.900372741,76.56999263,09/01/2019,67.9
"Tamil Nadu",SR,12.92038576,79.15004187,09/01/2019,280.4
Pondy,SR,11.93499371,79.83000037,09/01/2019,7.6
Bihar,ER,25.78541445,87.4799727,09/01/2019,56.4
Jharkhand,ER,23.80039349,86.41998572,09/01/2019,19.2
Odisha,ER,19.82042971,85.90001746,09/01/2019,86.6
"West Bengal",ER,22.58039044,88.32994665,09/01/2019,131.7
Sikkim,ER,27.3333303,88.6166475,09/01/2019,1.1
"Arunachal Pradesh",NER,27.10039878,93.61660071,09/01/2019,2.1
Assam,NER,26.7499809,94.21666744,09/01/2019,25.8
Manipur,NER,24.79997072,93.95001705,09/01/2019,2.3
Meghalaya,NER,25.57049217,91.8800142,09/01/2019,6
Mizoram,NER,23.71039899,92.72001461,09/01/2019,1.7
Nagaland,NER,25.6669979,94.11657019,09/01/2019,2.4
Tripura,NER,23.83540428,91.27999914,09/01/2019,4.2
Punjab,NR,31.51997398,75.98000281,10/01/2019,131.5
Haryana,NR,28.45000633,77.01999101,10/01/2019,157
Rajasthan,NR,26.44999921,74.63998124,10/01/2019,199.9
Delhi,NR,28.6699929,77.23000403,10/01/2019,92.8
UP,NR,27.59998069,78.05000565,10/01/2019,284.2
Uttarakhand,NR,30.32040895,78.05000565,10/01/2019,35.3
HP,NR,31.10002545,77.16659704,10/01/2019,26.5
J&K,NR,33.45,76.24,10/01/2019,31.7
Chandigarh,NR,30.71999697,76.78000565,10/01/2019,3.9
Chhattisgarh,WR,22.09042035,82.15998734,10/01/2019,79
Gujarat,WR,22.2587,71.1924,10/01/2019,268.3
MP,WR,21.30039105,76.13001949,10/01/2019,159.6
Maharashtra,WR,19.25023195,73.16017493,10/01/2019,409.7
Goa,WR,15.491997,73.81800065,10/01/2019,12.1
DNH,WR,20.26657819,73.0166178,10/01/2019,17.8
"Andhra Pradesh",SR,14.7504291,78.57002559,10/01/2019,168.8
Telangana,SR,18.1124,79.0193,10/01/2019,173.4
Karnataka,SR,12.57038129,76.91999711,10/01/2019,176
Kerala,SR,8.900372741,76.56999263,10/01/2019,68.9
"Tamil Nadu",SR,12.92038576,79.15004187,10/01/2019,290.8
Pondy,SR,11.93499371,79.83000037,10/01/2019,7.9
Bihar,ER,25.78541445,87.4799727,10/01/2019,69.9
Jharkhand,ER,23.80039349,86.41998572,10/01/2019,21.8
Odisha,ER,19.82042971,85.90001746,10/01/2019,78.8
"West Bengal",ER,22.58039044,88.32994665,10/01/2019,140.1
Sikkim,ER,27.3333303,88.6166475,10/01/2019,1.1
"Arunachal Pradesh",NER,27.10039878,93.61660071,10/01/2019,2.1
Assam,NER,26.7499809,94.21666744,10/01/2019,25.8
